dp_id,port_no,rx_bytes,rx_pkts,tx_bytes,tx_pkts,duration
1,1,3399,30,5676,47,7
1,2,3399,30,5676,47,7
2,1,716,8,8473,70,7
2,2,716,8,8473,70,7
2,3,5676,47,3399,30,7
3,1,716,8,8469,70,7
3,2,716,8,8469,70,7
3,3,5676,47,3399,30,7
1,1,3823,35,6384,55,17
1,2,3823,35,6384,55,17
3,1,786,9,9531,82,17
3,2,786,9,9531,82,17
3,3,6384,55,3823,35,17
2,1,786,9,9535,82,17
2,2,786,9,9535,82,17
2,3,6384,55,3823,35,17
1,1,3823,35,6384,55,27
1,2,3823,35,6384,55,27
2,1,786,9,9535,82,27
2,2,786,9,9535,82,27
2,3,6384,55,3823,35,27
3,1,786,9,9601,83,27
3,2,786,9,9531,82,27
3,3,6384,55,3823,35,27
1,1,748128,533,13452,74,37
1,2,10714,52,750866,555,37
2,1,744844,504,16850,104,37
2,2,856,10,10318,92,37
2,3,13452,74,748128,533,37
3,1,856,10,10314,92,37
3,2,7430,23,754260,585,37
3,3,750866,555,10714,52,37
1,1,2022744,1376,19394,85,47
1,2,16656,63,2025482,1398,47
3,1,747868,506,16888,105,47
3,2,19904,46,2775888,1924,47
3,3,2025482,1398,16656,63,47
2,1,2020972,1348,22792,115,47
2,2,856,10,10360,93,47
2,3,19394,85,2024256,1377,47
3,1,2093632,1398,26482,124,57
3,2,28754,61,4658370,3170,57
3,3,3309696,2256,763520,565,57
1,1,3306958,2234,766258,587,57
1,2,763520,565,3309696,2256,57
2,1,3297100,2192,28734,126,57
2,2,7430,23,751324,585,57
2,3,766258,587,3306958,2234,57
2,1,4583924,3045,732237,602,67
2,2,228220,174,1364439,1000,67
2,3,2081874,1465,4814679,3239,67
1,1,4813167,3238,2081874,1465,67
1,2,2078959,1441,4816012,3261,67
3,1,3407602,2268,30047,137,67
3,2,30046,65,6163425,4173,67
3,3,4817524,3262,2078959,1441,67
2,1,5875256,3901,1382551,1035,77
2,2,1227652,835,1366021,1002,77
2,3,2733700,1899,7105513,4757,77
3,1,4753436,3161,31783,142,77
3,2,31642,68,9148407,6152,77
3,3,7108428,4781,2730785,1875,77
1,1,7105513,4757,2733700,1899,77
1,2,2730785,1875,7108428,4781,77
2,1,7171082,4759,1855849,1349,87
2,2,1700992,1150,1381225,1014,87
2,3,2748862,1910,8401381,5616,87
3,1,6099116,4051,33337,144,87
3,2,33196,70,11774835,7891,87
3,3,8404296,5640,2745947,1886,87
1,1,8401381,5616,2748862,1910,87
1,2,2745947,1886,8404296,5640,87
1,1,10298983,6872,4097608,2803,97
1,2,4094693,2779,10301898,6896,97
2,1,8466866,5616,2599753,1841,97
2,2,3048226,2042,2731483,1908,97
2,3,4097608,2803,10298983,6872,97
3,1,7447904,4945,33421,146,97
3,2,33238,71,13672437,9147,97
3,3,10301898,6896,4094693,2779,97
1,1,12949603,8627,5441860,3694,107
1,2,5438945,3670,12952518,8651,107
3,1,8792114,5835,34975,148,107
3,2,33280,72,16321503,10900,107
3,3,12952518,8651,5438945,3670,107
2,1,9767228,6477,3281707,2293,107
2,2,4398568,2938,3393865,2349,107
2,3,5441860,3694,12949603,8627,107
1,1,14312111,9532,6787666,4587,117
1,2,6784751,4563,14315026,9556,117
2,1,11055536,7331,4626029,3185,117
2,2,4472768,2989,3395419,2351,117
2,3,6787666,4587,14312111,9532,117
3,1,10136324,6725,36669,152,117
3,2,34876,75,17682457,11803,117
3,3,14315026,9556,6784751,4563,117
1,1,15598935,10385,6787708,4588,127
1,2,6784793,4564,15601850,10409,127
2,1,12342360,8184,5215821,3577,127
2,2,5063960,3380,3395489,2352,127
2,3,6787708,4588,15600447,10386,127
3,1,11485112,7619,36823,155,127
3,2,34918,76,20317985,13548,127
3,3,15601850,10409,6784793,4564,127
2,1,13627602,9035,6565028,4475,137
2,2,6411194,4272,3396062,2359,137
2,3,6788062,4592,16884312,11237,137
3,1,12833816,8511,37284,160,137
3,2,34988,77,22952350,15295,137
3,3,16887334,11262,6784970,4566,137
1,1,16884312,11237,6788062,4592,137
1,2,6784970,4566,16887334,11262,137
1,1,19430604,12923,8127918,5482,147
1,2,8124826,5456,19433696,12949,147
2,1,14917380,9889,6652906,4536,147
2,2,7758512,5166,4738984,3252,147
2,3,8129430,5483,19432116,12924,147
3,1,14176626,9402,38950,164,147
3,2,36584,80,25501806,16985,147
3,3,19433696,12949,8124826,5456,147
1,1,22069086,14669,9476664,6375,157
1,2,9473572,6349,22072178,14695,157
2,1,16207158,10743,6652948,4537,157
2,2,9105704,6057,6087688,4144,157
2,3,9478176,6376,22069086,14669,157
3,1,15525330,10294,38950,164,157
3,2,36626,81,28140288,18731,157
3,3,22072178,14695,9475084,6350,157
1,1,23584236,15674,10823982,7269,167
1,2,10820890,7243,23587328,15700,167
2,1,17492400,11594,7988086,5421,167
2,2,9335612,6211,6099868,4154,167
2,3,10825494,7270,23585748,15675,167
3,1,16872606,11187,40546,167,167
3,2,38180,83,29653842,19733,167
3,3,23587328,15700,10822402,7244,167
1,1,24870948,16525,12172686,8161,177
1,2,12169594,8135,24874040,16551,177
2,1,18779112,12445,9335278,6312,177
2,2,9335612,6211,6099868,4154,177
2,3,12172686,8161,24870948,16525,177
